symbol,date,expected_minutes,actual_minutes,missing_minutes
ES,2010-01-04,390,373,17
ES,2010-01-05,390,375,15
ES,2010-01-06,390,374,16
ES,2010-01-07,390,375,15
ES,2010-01-08,390,345,45
ES,2010-01-11,390,375,15
ES,2010-01-12,390,374,16
ES,2010-01-13,390,372,18
ES,2010-01-14,390,375,15
ES,2010-01-15,390,346,44
ES,2010-01-18,390,60,330
ES,2010-01-19,390,375,15
ES,2010-01-20,390,373,17
ES,2010-01-21,390,375,15
ES,2010-01-22,390,346,44
ES,2010-01-25,390,375,15
ES,2010-01-26,390,375,15
ES,2010-01-27,390,375,15
ES,2010-01-28,390,369,21
ES,2010-01-29,390,345,45
ES,2010-02-01,390,374,16
ES,2010-02-02,390,375,15
ES,2010-02-03,390,375,15
ES,2010-02-04,390,371,19
ES,2010-02-05,390,340,50
ES,2010-02-08,390,375,15
ES,2010-02-09,390,342,48
ES,2010-02-10,390,375,15
ES,2010-02-11,390,371,19
ES,2010-02-12,390,342,48
ES,2010-02-15,390,60,330
ES,2010-02-16,390,375,15
ES,2010-02-17,390,375,15
ES,2010-02-18,390,375,15
ES,2010-02-19,390,346,44
ES,2010-02-22,390,373,17
ES,2010-02-23,390,375,15
ES,2010-02-24,390,375,15
ES,2010-02-25,390,376,14
ES,2010-02-26,390,345,45
ES,2010-03-01,390,374,16
ES,2010-03-02,390,375,15
ES,2010-03-03,390,375,15
ES,2010-03-04,390,373,17
ES,2010-03-05,390,321,69
ES,2010-03-08,390,375,15
ES,2010-03-09,390,374,16
ES,2010-03-10,390,374,16
ES,2010-03-11,390,375,15
ES,2010-03-12,390,345,45
ES,2010-03-15,390,375,15
ES,2010-03-16,390,375,15
ES,2010-03-17,390,375,15
ES,2010-03-18,390,375,15
ES,2010-03-19,390,345,45
ES,2010-03-22,390,375,15
ES,2010-03-23,390,375,15
ES,2010-03-24,390,374,16
ES,2010-03-25,390,375,15
ES,2010-03-26,390,345,45
ES,2010-03-29,390,373,17
ES,2010-03-30,390,373,17
ES,2010-03-31,390,373,17
ES,2010-04-01,390,373,17
ES,2010-04-05,390,375,15
ES,2010-04-06,390,375,15
ES,2010-04-07,390,375,15
ES,2010-04-08,390,375,15
ES,2010-04-09,390,345,45
ES,2010-04-12,390,375,15
ES,2010-04-13,390,374,16
ES,2010-04-14,390,376,14
ES,2010-04-15,390,375,15
ES,2010-04-16,390,345,45
ES,2010-04-19,390,375,15
ES,2010-04-20,390,375,15
ES,2010-04-21,390,375,15
ES,2010-04-22,390,373,17
ES,2010-04-23,390,345,45
ES,2010-04-26,390,375,15
ES,2010-04-27,390,375,15
ES,2010-04-28,390,375,15
ES,2010-04-29,390,375,15
ES,2010-04-30,390,345,45
ES,2010-05-03,390,374,16
ES,2010-05-04,390,375,15
ES,2010-05-05,390,375,15
ES,2010-05-06,390,375,15
ES,2010-05-07,390,345,45
ES,2010-05-10,390,375,15
ES,2010-05-11,390,375,15
ES,2010-05-12,390,375,15
ES,2010-05-13,390,375,15
ES,2010-05-14,390,345,45
ES,2010-05-17,390,375,15
ES,2010-05-18,390,375,15
ES,2010-05-19,390,375,15
ES,2010-05-20,390,375,15
ES,2010-05-21,390,345,45
ES,2010-05-24,390,375,15
ES,2010-05-25,390,375,15
ES,2010-05-26,390,375,15
ES,2010-05-27,390,375,15
ES,2010-05-28,390,345,45
ES,2010-05-31,390,60,330
ES,2010-06-01,390,376,14
ES,2010-06-02,390,376,14
ES,2010-06-03,390,375,15
ES,2010-06-04,390,346,44
ES,2010-06-07,390,375,15
ES,2010-06-08,390,375,15
ES,2010-06-09,390,375,15
ES,2010-06-10,390,374,16
ES,2010-06-11,390,345,45
ES,2010-06-14,390,375,15
ES,2010-06-15,390,375,15
ES,2010-06-16,390,376,14
ES,2010-06-17,390,375,15
ES,2010-06-18,390,345,45
ES,2010-06-21,390,374,16
ES,2010-06-22,390,375,15
ES,2010-06-23,390,375,15
ES,2010-06-24,390,375,15
ES,2010-06-25,390,345,45
ES,2010-06-28,390,375,15
ES,2010-06-29,390,375,15
ES,2010-06-30,390,375,15
ES,2010-07-01,390,375,15
ES,2010-07-02,390,345,45
ES,2010-07-05,390,60,330
ES,2010-07-06,390,375,15
ES,2010-07-07,390,375,15
ES,2010-07-08,390,375,15
ES,2010-07-09,390,346,44
ES,2010-07-12,390,375,15
ES,2010-07-13,390,375,15
ES,2010-07-14,390,374,16
ES,2010-07-15,390,375,15
ES,2010-07-16,390,345,45
ES,2010-07-19,390,376,14
ES,2010-07-20,390,375,15
ES,2010-07-21,390,374,16
ES,2010-07-22,390,375,15
ES,2010-07-23,390,345,45
ES,2010-07-26,390,375,15
ES,2010-07-27,390,374,16
ES,2010-07-28,390,374,16
ES,2010-07-29,390,375,15
ES,2010-07-30,390,345,45
ES,2010-08-02,390,374,16
ES,2010-08-03,390,375,15
ES,2010-08-04,390,375,15
ES,2010-08-05,390,374,16
ES,2010-08-06,390,345,45
ES,2010-08-09,390,374,16
ES,2010-08-10,390,375,15
ES,2010-08-11,390,375,15
ES,2010-08-12,390,374,16
ES,2010-08-13,390,345,45
ES,2010-08-16,390,373,17
ES,2010-08-17,390,375,15
ES,2010-08-18,390,375,15
ES,2010-08-19,390,376,14
ES,2010-08-20,390,345,45
ES,2010-08-23,390,375,15
ES,2010-08-24,390,375,15
ES,2010-08-25,390,374,16
ES,2010-08-26,390,375,15
ES,2010-08-27,390,345,45
ES,2010-08-30,390,375,15
ES,2010-08-31,390,375,15
ES,2010-09-01,390,375,15
ES,2010-09-02,390,376,14
ES,2010-09-03,390,346,44
ES,2010-09-06,390,60,330
ES,2010-09-07,390,375,15
ES,2010-09-08,390,373,17
ES,2010-09-09,390,375,15
ES,2010-09-10,390,345,45
ES,2010-09-13,390,375,15
ES,2010-09-14,390,375,15
ES,2010-09-15,390,373,17
ES,2010-09-16,390,375,15
ES,2010-09-17,390,345,45
ES,2010-09-20,390,375,15
ES,2010-09-21,390,374,16
ES,2010-09-22,390,374,16
ES,2010-09-23,390,375,15
ES,2010-09-24,390,345,45
ES,2010-09-27,390,376,14
ES,2010-09-28,390,375,15
ES,2010-09-29,390,376,14
ES,2010-09-30,390,375,15
ES,2010-10-01,390,345,45
ES,2010-10-04,390,375,15
ES,2010-10-05,390,375,15
ES,2010-10-06,390,376,14
ES,2010-10-07,390,375,15
ES,2010-10-08,390,345,45
ES,2010-10-11,390,375,15
ES,2010-10-12,390,375,15
ES,2010-10-13,390,375,15
ES,2010-10-14,390,375,15
ES,2010-10-15,390,345,45
ES,2010-10-18,390,375,15
ES,2010-10-19,390,375,15
ES,2010-10-20,390,376,14
ES,2010-10-21,390,375,15
ES,2010-10-22,390,345,45
ES,2010-10-25,390,374,16
ES,2010-10-26,390,375,15
ES,2010-10-27,390,375,15
ES,2010-10-28,390,375,15
ES,2010-10-29,390,345,45
ES,2010-11-01,390,374,16
ES,2010-11-02,390,375,15
ES,2010-11-03,390,375,15
ES,2010-11-04,390,375,15
ES,2010-11-05,390,345,45
ES,2010-11-08,390,373,17
ES,2010-11-09,390,375,15
ES,2010-11-10,390,376,14
ES,2010-11-11,390,375,15
ES,2010-11-12,390,345,45
ES,2010-11-15,390,376,14
ES,2010-11-16,390,367,23
ES,2010-11-17,390,375,15
ES,2010-11-18,390,375,15
ES,2010-11-19,390,345,45
ES,2010-11-22,390,376,14
ES,2010-11-23,390,375,15
ES,2010-11-24,390,373,17
ES,2010-11-25,390,60,330
ES,2010-11-26,390,165,225
ES,2010-11-29,390,375,15
ES,2010-11-30,390,375,15
ES,2010-12-01,390,375,15
ES,2010-12-02,390,375,15
ES,2010-12-03,390,345,45
ES,2010-12-06,390,375,15
ES,2010-12-07,390,375,15
ES,2010-12-08,390,375,15
ES,2010-12-09,390,373,17
ES,2010-12-10,390,345,45
ES,2010-12-13,390,374,16
ES,2010-12-14,390,375,15
ES,2010-12-15,390,374,16
ES,2010-12-16,390,376,14
ES,2010-12-17,390,345,45
ES,2010-12-20,390,375,15
ES,2010-12-21,390,375,15
ES,2010-12-22,390,374,16
ES,2010-12-23,390,345,45
ES,2010-12-27,390,372,18
ES,2010-12-28,390,371,19
ES,2010-12-29,390,373,17
ES,2010-12-30,390,374,16
ES,2010-12-31,390,345,45
ES,2011-01-03,390,376,14
ES,2011-01-04,390,374,16
ES,2011-01-05,390,375,15
ES,2011-01-06,390,374,16
ES,2011-01-07,390,345,45
ES,2011-01-10,390,374,16
ES,2011-01-11,390,374,16
ES,2011-01-12,390,374,16
ES,2011-01-13,390,375,15
ES,2011-01-14,390,345,45
ES,2011-01-17,390,60,330
ES,2011-01-18,390,375,15
ES,2011-01-19,390,375,15
ES,2011-01-20,390,374,16
ES,2011-01-21,390,346,44
ES,2011-01-24,390,374,16
ES,2011-01-25,390,375,15
ES,2011-01-26,390,375,15
ES,2011-01-27,390,375,15
ES,2011-01-28,390,345,45
ES,2011-01-31,390,375,15
ES,2011-02-01,390,374,16
ES,2011-02-02,390,373,17
ES,2011-02-03,390,375,15
ES,2011-02-04,390,345,45
ES,2011-02-07,390,376,14
ES,2011-02-08,390,375,15
ES,2011-02-09,390,375,15
ES,2011-02-10,390,375,15
ES,2011-02-11,390,345,45
ES,2011-02-14,390,375,15
ES,2011-02-15,390,376,14
ES,2011-02-16,390,375,15
ES,2011-02-17,390,375,15
ES,2011-02-18,390,345,45
ES,2011-02-21,390,60,330
ES,2011-02-22,390,375,15
ES,2011-02-23,390,375,15
ES,2011-02-24,390,375,15
ES,2011-02-25,390,345,45
ES,2011-02-28,390,375,15
ES,2011-03-01,390,376,14
ES,2011-03-02,390,375,15
ES,2011-03-03,390,375,15
ES,2011-03-04,390,345,45
ES,2011-03-07,390,375,15
ES,2011-03-08,390,375,15
ES,2011-03-09,390,375,15
ES,2011-03-10,390,375,15
ES,2011-03-11,390,345,45
ES,2011-03-14,390,375,15
ES,2011-03-15,390,375,15
ES,2011-03-16,390,376,14
ES,2011-03-17,390,375,15
ES,2011-03-18,390,346,44
ES,2011-03-21,390,375,15
ES,2011-03-22,390,375,15
ES,2011-03-23,390,375,15
ES,2011-03-24,390,375,15
ES,2011-03-25,390,345,45
ES,2011-03-28,390,375,15
ES,2011-03-29,390,375,15
ES,2011-03-30,390,375,15
ES,2011-03-31,390,375,15
ES,2011-04-01,390,346,44
ES,2011-04-04,390,374,16
ES,2011-04-05,390,375,15
ES,2011-04-06,390,375,15
ES,2011-04-07,390,375,15
ES,2011-04-08,390,345,45
ES,2011-04-11,390,375,15
ES,2011-04-12,390,375,15
ES,2011-04-13,390,375,15
ES,2011-04-14,390,375,15
ES,2011-04-15,390,345,45
ES,2011-04-18,390,375,15
ES,2011-04-19,390,376,14
ES,2011-04-20,390,375,15
ES,2011-04-21,390,345,45
ES,2011-04-25,390,375,15
ES,2011-04-26,390,375,15
ES,2011-04-27,390,374,16
ES,2011-04-28,390,372,18
ES,2011-04-29,390,345,45
ES,2011-05-02,390,375,15
ES,2011-05-03,390,375,15
ES,2011-05-04,390,374,16
ES,2011-05-05,390,375,15
ES,2011-05-06,390,345,45
ES,2011-05-09,390,375,15
ES,2011-05-10,390,375,15
ES,2011-05-11,390,375,15
ES,2011-05-12,390,374,16
ES,2011-05-13,390,345,45
ES,2011-05-16,390,375,15
ES,2011-05-17,390,374,16
ES,2011-05-18,390,373,17
ES,2011-05-19,390,374,16
ES,2011-05-20,390,345,45
ES,2011-05-23,390,374,16
ES,2011-05-24,390,375,15
ES,2011-05-25,390,376,14
ES,2011-05-26,390,375,15
ES,2011-05-27,390,345,45
ES,2011-05-30,390,57,333
ES,2011-05-31,390,375,15
ES,2011-06-01,390,375,15
ES,2011-06-02,390,375,15
ES,2011-06-03,390,346,44
ES,2011-06-06,390,374,16
ES,2011-06-07,390,374,16
ES,2011-06-08,390,375,15
ES,2011-06-09,390,375,15
ES,2011-06-10,390,345,45
ES,2011-06-13,390,375,15
ES,2011-06-14,390,375,15
ES,2011-06-15,390,375,15
ES,2011-06-16,390,375,15
ES,2011-06-17,390,345,45
ES,2011-06-20,390,374,16
ES,2011-06-21,390,375,15
ES,2011-06-22,390,375,15
ES,2011-06-23,390,375,15
ES,2011-06-24,390,345,45
ES,2011-06-27,390,375,15
ES,2011-06-28,390,375,15
ES,2011-06-29,390,374,16
ES,2011-06-30,390,375,15
ES,2011-07-01,390,345,45
ES,2011-07-04,390,60,330
ES,2011-07-05,390,374,16
ES,2011-07-06,390,375,15
ES,2011-07-07,390,375,15
ES,2011-07-08,390,345,45
ES,2011-07-11,390,375,15
ES,2011-07-12,390,375,15
ES,2011-07-13,390,375,15
ES,2011-07-14,390,375,15
ES,2011-07-15,390,345,45
ES,2011-07-18,390,375,15
ES,2011-07-19,390,375,15
ES,2011-07-20,390,375,15
