,Entry_time,Entry_price,Exit_time,Exit_price,Trade_duration_hours,Exit_reason,pnl_pct
2013-03-14 11:20:00,2013-03-01 10:40:00,1510.5,2013-03-14 11:20:00,1555.815,312.6666666666667,Take Profit,2.950000000000003
2013-04-18 13:20:00,2013-04-03 12:30:00,1549.5,2013-04-18 13:20:00,1534.0049999999999,360.8333333333333,Stop Loss,-1.050000000000012
2013-05-07 11:35:00,2013-04-23 09:31:00,1571.25,2013-05-07 11:35:00,1618.3875,338.06666666666666,Take Profit,2.950000000000003
2013-05-22 14:20:00,2013-05-22 12:33:00,1667.25,2013-05-22 14:20:00,1650.5774999999999,1.7833333333333334,Stop Loss,-1.050000000000012
2013-05-31 14:55:00,2013-05-31 09:31:00,1650.5,2013-05-31 14:55:00,1633.995,5.4,Stop Loss,-1.050000000000012
2013-06-04 12:35:00,2013-06-04 09:31:00,1643.25,2013-06-04 12:35:00,1626.8174999999999,3.066666666666667,Stop Loss,-1.050000000000012
2013-06-12 10:45:00,2013-06-07 09:35:00,1638.75,2013-06-12 10:45:00,1622.3625,121.16666666666667,Stop Loss,-1.050000000000001
2013-08-15 09:30:00,2013-08-14 09:45:00,1684.75,2013-08-15 09:30:00,1661.0,23.75,MA Cross,-1.4597047039620115
2013-08-19 14:40:00,2013-08-15 09:31:00,1660.25,2013-08-19 14:40:00,1643.6475,101.15,Stop Loss,-1.050000000000001
2013-10-03 09:30:00,2013-10-01 09:31:00,1684.0,2013-10-03 09:30:00,1672.25,47.983333333333334,MA Cross,-0.7477434679334871
2013-12-13 09:30:00,2013-12-05 09:31:00,1787.25,2013-12-13 09:30:00,1769.0,191.98333333333332,MA Cross,-1.0711218352217056
2013-12-26 09:30:00,2013-12-18 09:31:00,1777.25,2013-12-26 09:30:00,1830.5675,191.98333333333332,Take Profit,2.950000000000003
2014-01-24 09:30:00,2014-01-23 09:36:00,1823.0,2014-01-24 09:30:00,1804.5,23.9,MA Cross,-1.0648107515084992
2014-03-06 09:50:00,2014-02-19 14:45:00,1825.25,2014-03-06 09:50:00,1880.0075,355.0833333333333,Take Profit,2.950000000000003
2014-03-14 09:30:00,2014-03-13 10:53:00,1860.0,2014-03-14 09:30:00,1841.4,22.616666666666667,Stop Loss,-1.0499999999999898
2014-04-07 09:35:00,2014-04-04 11:12:00,1868.0,2014-04-07 09:35:00,1849.32,70.38333333333334,Stop Loss,-1.050000000000001
2014-05-30 13:40:00,2014-05-09 10:00:00,1864.25,2014-05-30 13:40:00,1920.1775,507.6666666666667,Take Profit,2.950000000000003
2014-07-31 09:30:00,2014-07-11 09:41:00,1955.75,2014-07-31 09:30:00,1942.75,479.81666666666666,MA Cross,-0.7147066342835184
2014-09-16 09:30:00,2014-09-12 09:31:00,1982.5,2014-09-16 09:30:00,1978.5,95.98333333333333,MA Cross,-0.25176544766709047
2014-09-24 09:30:00,2014-09-17 13:00:00,1985.0,2014-09-24 09:30:00,1975.75,164.5,MA Cross,-0.5159949622166204
2014-12-10 14:00:00,2014-12-10 09:31:00,2044.25,2014-12-10 14:00:00,2023.8075,4.483333333333333,Stop Loss,-1.050000000000001
2014-12-11 14:50:00,2014-12-11 10:21:00,2053.75,2014-12-11 14:50:00,2033.2125,4.483333333333333,Stop Loss,-1.050000000000001
2015-03-06 13:35:00,2015-03-06 09:47:00,2090.25,2015-03-06 13:35:00,2069.3475,3.8,Stop Loss,-1.050000000000012
